file_last_modified_date,delivery_code_ref,orga_name,orga_code_ref,file_name,url,study_name,study_code_ref,delivery_name
"2024-06-18T18:28:20.808575+02:00","INVA-1080-7170","Invattur","INVA","Alicante Centro.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7170/Alicante Centro.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","3. Abril - Mayo 2024"
"2024-06-18T18:28:46.445477+02:00","INVA-1080-7170","Invattur","INVA","Valencia Provincia.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7170/Valencia Provincia.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","3. Abril - Mayo 2024"
"2024-06-18T18:28:23.520669+02:00","INVA-1080-7170","Invattur","INVA","Elche.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7170/Elche.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","3. Abril - Mayo 2024"
"2024-06-18T18:28:19.316523+02:00","INVA-1080-7170","Invattur","INVA","Alicante Provincia.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7170/Alicante Provincia.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","3. Abril - Mayo 2024"
"2024-06-18T18:28:24.544705+02:00","INVA-1080-7170","Invattur","INVA","Calpe Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7170/Calpe Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","3. Abril - Mayo 2024"
"2024-06-18T18:28:41.989321+02:00","INVA-1080-7170","Invattur","INVA","Valencia Playa.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7170/Valencia Playa.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","3. Abril - Mayo 2024"
"2024-06-18T18:28:13.008302+02:00","INVA-1080-7170","Invattur","INVA","Malaga Centro.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7170/Malaga Centro.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","3. Abril - Mayo 2024"
"2024-06-18T18:28:04.191994+02:00","INVA-1080-7170","Invattur","INVA","Castellon Provincia.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7170/Castellon Provincia.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","3. Abril - Mayo 2024"
"2024-06-18T18:28:27.228799+02:00","INVA-1080-7170","Invattur","INVA","Adeje - Arona Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7170/Adeje - Arona Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","3. Abril - Mayo 2024"
"2024-06-18T18:28:25.772748+02:00","INVA-1080-7170","Invattur","INVA","San Bartolome de Tirajana Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7170/San Bartolome de Tirajana Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","3. Abril - Mayo 2024"
"2024-06-18T18:28:10.476213+02:00","INVA-1080-7170","Invattur","INVA","Valencia Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7170/Valencia Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","3. Abril - Mayo 2024"
"2024-06-18T18:28:07.428107+02:00","INVA-1080-7170","Invattur","INVA","Castellon Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7170/Castellon Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","3. Abril - Mayo 2024"
"2024-06-18T18:28:31.748960+02:00","INVA-1080-7170","Invattur","INVA","Torrevieja Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7170/Torrevieja Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","3. Abril - Mayo 2024"
"2024-06-18T18:28:48.629554+02:00","INVA-1080-7170","Invattur","INVA","Sevilla Centro.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7170/Sevilla Centro.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","3. Abril - Mayo 2024"
"2024-06-18T18:28:29.040863+02:00","INVA-1080-7170","Invattur","INVA","Alicante Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7170/Alicante Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","3. Abril - Mayo 2024"
