ANU,AG,-61.79456029,17.085589100
ANV,US,-160.2008100,62.653970000
ANW,US,-99.86248000,42.547450000
ANX,NO,16.105708530,69.312298900
ANY,US,-109.3792478,36.785833800
ANZ,AU,132.27252810,-25.03445270
AOA,PG,146.92611600,-8.948269700
AOB,PG,144.24890140,-5.681606800
AOC,DE,12.434098800,50.985241100
AOD,TD,19.280533300,11.450000000
ESK,TR,30.519116000,39.774394100
AOG,CN,122.99022910,41.107596200
AOH,US,-84.10745000,40.742690000
AOI,IT,13.517098200,43.617013700
AOJ,JP,140.74720270,40.822283300
AOK,GR,27.119256690,35.613661100
AOL,AR,-57.08613690,-29.71365740
AOM,OM,57.520032770,22.360493350
AON,PG,146.02118380,-6.266402700
AOO,US,-78.39910000,40.507330000
AOP,PE,-76.63961612,-3.375461550
AOQ,GL,-55.59796790,72.883322800
AOR,MY,100.36839620,6.1231908000
AOS,US,-134.4067900,58.299730000
AOT,IT,7.3196649000,45.737088500
DEN,US,-104.9920200,39.740010000
APB,BO,-68.41766150,-14.71539380
APC,US,-122.2854100,38.299110000
APF,US,-81.79583000,26.139340000
APG,US,-76.16268000,39.511040000
APH,US,-77.34778000,38.051970000
API,CO,-73.57252690,4.0670735000
APJ,CN,80.105609900,32.502433000
APK,PF,-146.2793732,-15.41245080
APL,MZ,39.261588600,-15.11940630
APN,US,-83.44515000,45.061560000
APO,CO,-76.62274610,7.8849011000
APP,PG,148.10697410,-8.976758900
APQ,BR,-36.66147100,-9.754866000
APR,PG,142.56325010,-4.641466700
APS,BR,-48.95257560,-16.33328280
APT,US,-90.67233370,35.774242900
APU,BR,-51.46107640,-23.55253270
APV,US,-117.2164300,34.523730000
APW,WS,-171.7649144,-13.83446390
APX,BR,-51.42939610,-23.41528620
APY,BR,-45.93101540,-9.112506000
APZ,AR,-70.06685730,-38.90062150
AQA,BR,-48.17730960,-21.78867130
AQB,GT,-91.14961790,15.029509800
AQG,CN,117.05159560,30.527616100
AQI,SA,46.127502000,28.309716100
AQJ,JO,35.007543300,29.526648300
AQM,BR,-63.03306900,-9.907652200
AQP,PE,-71.53696070,-16.39886670
AQS,FJ,-100.9658200,25.443430000
AQY,US,-149.1003500,60.971700000
ARA,US,-81.59172471,28.355976600
ARB,US,-83.72237684,42.279076100
ARC,US,-78.42307370,42.533951300
ARD,ID,124.77771640,-8.291144850
ARE,PR,-64.16133000,-31.38167000
ARF,CO,-70.24136780,0.6813562000
ARG,US,-78.62495616,41.967406050
ARH,RU,40.537121000,64.543022000
ARI,CL,-70.32113940,-18.47852880
ARJ,ID,140.70974920,-2.774453900
ARK,TZ,36.688079400,-3.369682700
ARL,BF,1.4666670000,11.583333000
ARM,AU,151.66565640,-30.51448810
STO,SE,18.071093500,59.325117200
ARO,CO,-75.51899710,7.2492271000
ARP,PG,149.48028670,-9.876659500
ARQ,CO,-71.42790160,7.0294952000
ARR,AR,-70.82308000,-45.04101000
ARS,BR,-52.25145380,-15.89571660
ART,US,-87.15529290,39.402818500
ARU,BR,-50.43902250,-21.20799200
ARV,US,-89.71003000,45.871200000
ARW,RO,21.326077620,46.175282700
ARX,BR,-37.76789400,-4.558259000
ARY,AU,142.93194470,-37.28341650
ARZ,AO,12.868505300,-7.231595100
ASA,ER,42.744459600,13.009128900
ASB,TM,58.382348700,37.940464800
ASC,BO,-63.01724820,-15.76905330
ASD,BS,-77.78883990,24.727921300
ASE,US,-121.9907889,37.381264450
ASF,RU,48.032620300,46.349830800
ASG,NZ,171.75033270,-43.90243960
ASH,US,-81.97347170,38.832582100
ASI,SH,18.468120000,-33.80760000
ASJ,JP,129.49390000,28.377670000
ASK,CI,-5.277603400,6.8200066000
ASL,US,-94.35011000,32.546910000
ASM,ER,38.932676300,15.338966700
ASN,US,-86.10242000,33.434550000
ASO,ET,34.543702400,10.064635200
ASP,AU,133.88128850,-23.69838840
ASQ,US,-117.0718200,39.493250000
ASR,TR,35.487321400,38.721901100
ASS,ZA,31.556914550,-24.73279040
AST,US,-123.8339500,46.189770000
ASU,PY,-57.63438140,-25.28004590
ASV,KE,37.259075300,-2.643331900
