DATAFLOW,LAST UPDATE,freq,indic_to,c_resid,month,unit,geo,TIME_PERIOD,OBS_VALUE
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,ES70,2024,113217
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,HR03,2018,4495
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,HR03,2019,4654
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,HR03,2020,6941
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,HR03,2021,8003
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,HR03,2022,10142
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,HR03,2023,10757
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,HR03,2024,11836
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,PT15,2018,1713
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,PT15,2019,2123
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,PT15,2020,2833
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,PT15,2021,3443
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,PT15,2022,5042
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,PT15,2023,5397
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,PT15,2024,7134
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,PT17,2018,10857
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,PT17,2019,12554
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,PT17,2020,16913
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,PT17,2021,14002
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,PT17,2022,16431
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,PT17,2023,18925
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M01,NR,PT17,2024,21217
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,EL3,2018,15996
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,EL3,2019,24921
