REGIONCODE,ID,SUBCONTINENTCODE,REGIONNAME,SUBCONTINENTNAME,CONTINENTCODE,CONTINENTNAME,ACTIVESTATUS,LOAD_TIME,LANGUAGE_KEY
US_IN,52,NAME,Indiana,North America,AM,America,1,,2
BR_SP,53,SAME,Sao Paulo,South America,AM,America,1,,2
US_IA,54,NAME,Iowa,North America,AM,America,1,,2
INPUN,55,SASI,Punjab,South Asia,AS,Asia,1,,2
US_AL,56,NAME,Alabama,North America,AM,America,1,,2
FRPRO,57,WEUR,Provence Alpes Cote d'Azur,Western Europe,EU,Europe,1,,2
US_MO,58,NAME,Missouri,North America,AM,America,1,,2
FRCOR,59,WEUR,Corsica,Western Europe,EU,Europe,1,,2
INMIZ,60,SASI,Mizoram,South Asia,AS,Asia,1,,2
BR_SE,61,SAME,Sergipe,South America,AM,America,1,,2
CNSHA,62,NEAS,Shaanxi,North East Asia,AS,Asia,1,,2
US_OH,63,NAME,Ohio,North America,AM,America,1,,2
INMAH,64,SASI,Maharashtra,South Asia,AS,Asia,1,,2
CA_QC,65,NAME,Quebec,North America,AM,America,1,,2
US_NY,66,NAME,New York,North America,AM,America,1,,2
US_IL,67,NAME,Illinois,North America,AM,America,1,,2
BR_RS,68,SAME,Rio Grande do Sul,South America,AM,America,1,,2
BR_PA,69,SAME,Para,South America,AM,America,1,,2
US_WA,70,NAME,Washington,North America,AM,America,1,,2
INGUJ,71,SASI,Gujarat,South Asia,AS,Asia,1,,2
AUNOT,72,OCEA,Northern Territory,Oceania,OC,Oceania,1,,2
FRPAY,73,WEUR,Pays de la Loire,Western Europe,EU,Europe,1,,2
US_KS,74,NAME,Kansas,North America,AM,America,1,,2
DETHU,75,WEUR,Thuringia,Western Europe,EU,Europe,1,,2
CNLIA,76,NEAS,Liaoning,North East Asia,AS,Asia,1,,2
AR_CR,77,SAME,Corrientes,South America,AM,America,1,,2
US_VA,78,NAME,Virginia,North America,AM,America,1,,2
CNANH,79,NEAS,Anhui,North East Asia,AS,Asia,1,,2
BR_AL,80,SAME,Alagoas,South America,AM,America,1,,2
BR_GO,81,SAME,Goias,South America,AM,America,1,,2
US_TN,82,NAME,Tennessee,North America,AM,America,1,,2
BR_MA,83,SAME,Maranhao,South America,AM,America,1,,2
AR_NE,84,SAME,Neuquen,South America,AM,America,1,,2
BR_RO,85,SAME,Rondonia,South America,AM,America,1,,2
AR_CB,86,SAME,Chubut,South America,AM,America,1,,2
BR_CE,87,SAME,Ceara,South America,AM,America,1,,2
AUVIC,88,OCEA,Victoria,Oceania,OC,Oceania,1,,2
US_NV,89,NAME,Nevada,North America,AM,America,1,,2
US_ND,90,NAME,North Dakota,North America,AM,America,1,,2
FRBUR,91,WEUR,Burgundy,Western Europe,EU,Europe,1,,2
US_ME,92,NAME,Maine,North America,AM,America,1,,2
ESCAL,93,SEUR,Castile and Leon,Southern Europe,EU,Europe,1,,2
US_NC,94,NAME,North Carolina,North America,AM,America,1,,2
US_AZ,95,NAME,Arizona,North America,AM,America,1,,2
US_HI,96,NAME,Hawaii,North America,AM,America,1,,2
BR_SC,97,SAME,Santa Catarina,South America,AM,America,1,,2
CNNAN,98,NEAS,Henan,North East Asia,AS,Asia,1,,2
CNJIA,99,NEAS,Jiangsu,North East Asia,AS,Asia,1,,2
CNGUA,100,NEAS,Guangdong,North East Asia,AS,Asia,1,,2
CNHAN,101,NEAS,Hainan,North East Asia,AS,Asia,1,,2
BR_AM,102,SAME,Amazonas,South America,AM,America,1,,2
DEMEC,103,WEUR,Mecklenburg Vorpommern,Western Europe,EU,Europe,1,,2
INODI,104,SASI,Odisha,South Asia,AS,Asia,1,,2
DERHI,105,WEUR,Rhineland Palatinate,Western Europe,EU,Europe,1,,2
GBENG,106,NEUR,England,Northern Europe,EU,Europe,1,,2
US_UT,107,NAME,Utah,North America,AM,America,1,,2
ESCAT,108,SEUR,Catalonia,Southern Europe,EU,Europe,1,,2
US_CT,109,NAME,Connecticut,North America,AM,America,1,,2
US_MT,110,NAME,Montana,North America,AM,America,1,,2
INDNI,111,SASI,Andhra Pradesh,South Asia,AS,Asia,1,,2
INKAR,112,SASI,Karnataka,South Asia,AS,Asia,1,,2
DEBER,113,WEUR,Berlin,Western Europe,EU,Europe,1,,2
FRBRI,114,WEUR,Brittany,Western Europe,EU,Europe,1,,2
ESBAS,115,SEUR,Basque Country,Southern Europe,EU,Europe,1,,2
CNYUN,116,NEAS,Yunnan,North East Asia,AS,Asia,1,,2
GBIRL,117,NEUR,Northern Ireland,Northern Europe,EU,Europe,1,,2
INMAD,118,SASI,Madhya Pradesh,South Asia,AS,Asia,1,,2
US_RI,119,NAME,Rhode Island,North America,AM,America,1,,2
US_MS,120,NAME,Mississippi,North America,AM,America,1,,2
CNBEJ,121,NEAS,Beijing,North East Asia,AS,Asia,1,,2
ESEXT,122,SEUR,Extremadura,Southern Europe,EU,Europe,1,,2
INRAJ,123,SASI,Rajasthan,South Asia,AS,Asia,1,,2
US_WV,124,NAME,West Virginia,North America,AM,America,1,,2
BR_BA,125,SAME,Bahia,South America,AM,America,1,,2
US_DC,126,NAME,District Of Columbia,North America,AM,America,1,,2
US_ID,127,NAME,Idaho,North America,AM,America,1,,2
FRFRA,128,WEUR,Franche Comte,Western Europe,EU,Europe,1,,2
FRCEN,129,WEUR,Centre,Western Europe,EU,Europe,1,,2
CNHEB,130,NEAS,Hebei,North East Asia,AS,Asia,1,,2
CNTIB,131,NEAS,Tibet,North East Asia,AS,Asia,1,,2
AR_RN,132,SAME,Rio Negro,South America,AM,America,1,,2
DEBRE,133,WEUR,Bremen,Western Europe,EU,Europe,1,,2
US_KY,134,NAME,Kentucky,North America,AM,America,1,,2
BR_DF,135,SAME,Federal District,South America,AM,America,1,,2
US_VT,136,NAME,Vermont,North America,AM,America,1,,2
FRILE,137,WEUR,Ile de France,Western Europe,EU,Europe,1,,2
BR_RR,138,SAME,Roraima,South America,AM,America,1,,2
AUTAS,139,OCEA,Tasmania,Oceania,OC,Oceania,1,,2
FRUPP,140,WEUR,Hauts-de-France,Western Europe,EU,Europe,1,,2
BR_MS,141,SAME,Mato Grosso do Sul,South America,AM,America,1,,2
BR_RJ,142,SAME,Rio de Janeiro,South America,AM,America,1,,2
FRLAN,143,WEUR,Occitania,Western Europe,EU,Europe,1,,2
BR_PE,144,SAME,Pernambuco,South America,AM,America,1,,2
INAND,145,SASI,Andaman and Nicobar Islands,South Asia,AS,Asia,1,,2
AUACT,146,OCEA,Australia Capital Territory,Oceania,OC,Oceania,1,,2
DEBRA,147,WEUR,Brandenburg,Western Europe,EU,Europe,1,,2
CNDON,148,NEAS,Shandong,North East Asia,AS,Asia,1,,2
INKER,149,SASI,Kerala,South Asia,AS,Asia,1,,2
INWES,150,SASI,West Bengal,South Asia,AS,Asia,1,,2
BR_ES,151,SAME,Espirito Santo,South America,AM,America,1,,2
FRNOR,152,WEUR,Normandy,Western Europe,EU,Europe,1,,2
CA_AB,153,NAME,Alberta,North America,AM,America,1,,2
CA_BC,154,NAME,British Columbia,North America,AM,America,1,,2
GBWAL,155,NEUR,Wales,Northern Europe,EU,Europe,1,,2
CNHUN,156,NEAS,Hunan,North East Asia,AS,Asia,1,,2
CNJIL,157,NEAS,Jilin,North East Asia,AS,Asia,1,,2
CNNXI,158,NEAS,Shanxi,North East Asia,AS,Asia,1,,2
INTAM,159,SASI,Tamil Nadu,South Asia,AS,Asia,1,,2
CNCHO,160,NEAS,Chongqing,North East Asia,AS,Asia,1,,2
AR_FO,161,SAME,Formosa,South America,AM,America,1,,2
FRALS,162,WEUR,Grand-Est,Western Europe,EU,Europe,1,,2
AR_CH,163,SAME,Chaco,South America,AM,America,1,,2
AR_ER,164,SAME,Entre Rios,South America,AM,America,1,,2
AR_CD,165,SAME,Cordoba,South America,AM,America,1,,2
BR_PB,166,SAME,Paraiba,South America,AM,America,1,,2
AR_SF,167,SAME,Santa Fe,South America,AM,America,1,,2
DEXAE,168,WEUR,Saxony Anhalt,Western Europe,EU,Europe,1,,2
AR_CA,169,SAME,Catamarca,South America,AM,America,1,,2
AR_SC,170,SAME,Santa Cruz,South America,AM,America,1,,2
BR_AC,171,SAME,Acre,South America,AM,America,1,,2
CNHEN,172,NEAS,Heilongjiang,North East Asia,AS,Asia,1,,2
CA_NT,173,NAME,Northwest Territories,North America,AM,America,1,,2
INJHA,174,SASI,Jharkhand,South Asia,AS,Asia,1,,2
INBIH,175,SASI,Bihar,South Asia,AS,Asia,1,,2
INUTT,176,SASI,Uttrakhand,South Asia,AS,Asia,1,,2
INDEL,177,SASI,Delhi,South Asia,AS,Asia,1,,2
INARU,178,SASI,Arunachal Pradesh,South Asia,AS,Asia,1,,2
CNZHE,179,NEAS,Zhejiang,North East Asia,AS,Asia,1,,2
INHIM,180,SASI,Himachal Pradesh,South Asia,AS,Asia,1,,2
ESCTB,181,SEUR,Cantabria,Southern Europe,EU,Europe,1,,2
INASS,182,SASI,Assam,South Asia,AS,Asia,1,,2
INDAM,183,SASI,Daman and Diu,South Asia,AS,Asia,1,,2
INNAG,184,SASI,Nagaland,South Asia,AS,Asia,1,,2
CNGAN,185,NEAS,Gansu,North East Asia,AS,Asia,1,,2
US_DE,186,NAME,Delaware,North America,AM,America,1,,2
DESAX,187,WEUR,Saxony,Western Europe,EU,Europe,1,,2
ESNAV,188,SEUR,Navarre,Southern Europe,EU,Europe,1,,2
CNHUB,189,NEAS,Hubei,North East Asia,AS,Asia,1,,2
AR_MI,190,SAME,Misiones,South America,AM,America,1,,2
ESMUR,191,SEUR,Murcia,Southern Europe,EU,Europe,1,,2
DESCH,192,WEUR,Schleswig Holstein,Western Europe,EU,Europe,1,,2
DEBAD,193,WEUR,Baden Wurttemberg,Western Europe,EU,Europe,1,,2
BR_PI,194,SAME,Piaui,South America,AM,America,1,,2
CNFUJ,195,NEAS,Fujian,North East Asia,AS,Asia,1,,2
DEHES,196,WEUR,Hesse,Western Europe,EU,Europe,1,,2
ESMAD,197,SEUR,Madrid Community,Southern Europe,EU,Europe,1,,2
CNQIN,198,NEAS,Qinghai,North East Asia,AS,Asia,1,,2
INGOA,199,SASI,Goa,South Asia,AS,Asia,1,,2
AR_LP,200,SAME,La Pampa,South America,AM,America,1,,2
CNNIN,201,NEAS,Ningxia,North East Asia,AS,Asia,1,,2
DEHAM,202,WEUR,Hamburg,Western Europe,EU,Europe,1,,2
ESARA,203,SEUR,Aragon,Southern Europe,EU,Europe,1,,2
INHAR,204,SASI,Haryana,South Asia,AS,Asia,1,,2
ESBAL,205,SEUR,Balearic Islands,Southern Europe,EU,Europe,1,,2
CA_MB,206,NAME,Manitoba,North America,AM,America,1,,2
INMAN,207,SASI,Manipur,South Asia,AS,Asia,1,,2
AR_LR,208,SAME,La Rioja,South America,AM,America,1,,2
INTRI,209,SASI,Tripura,South Asia,AS,Asia,1,,2
INCHA,210,SASI,Chandigarh,South Asia,AS,Asia,1,,2
INJAM,211,SASI,Jammu & Kashmir,South Asia,AS,Asia,1,,2
ESGAL,212,SEUR,Galicia,Southern Europe,EU,Europe,1,,2
ESCEU,213,SEUR,Ceuta,Southern Europe,EU,Europe,1,,2
CNJXI,214,NEAS,Jiangxi,North East Asia,AS,Asia,1,,2
INCHH,215,SASI,Chhattisgarh,South Asia,AS,Asia,1,,2
CA_NU,216,NAME,Nunavut,North America,AM,America,1,,2
AR_PJ,217,SAME,Jujuy,South America,AM,America,1,,2
CA_ON,218,NAME,Ontario,North America,AM,America,1,,2
ESRIO,219,SEUR,La Rioja,Southern Europe,EU,Europe,1,,2
AR_SL,220,SAME,San Luis,South America,AM,America,1,,2
BR_AP,221,SAME,Amapa,South America,AM,America,1,,2
ESMEL,222,SEUR,Melilla,Southern Europe,EU,Europe,1,,2
BR_RN,223,SAME,Rio Grande do Norte,South America,AM,America,1,,2
AR_SA,224,SAME,Salta,South America,AM,America,1,,2
ESAST,225,SEUR,Asturias,Southern Europe,EU,Europe,1,,2
INPUD,226,SASI,Puducherry,South Asia,AS,Asia,1,,2
CNSAN,227,NEAS,Shanghai,North East Asia,AS,Asia,1,,2
INSIK,228,SASI,Sikkim,South Asia,AS,Asia,1,,2
DESAA,229,WEUR,Saarland,Western Europe,EU,Europe,1,,2
DEGEN,230,WEUR,Generic,Western Europe,EU,Europe,1,,2
AR_TF,231,SAME,Tierra del Fuego,South America,AM,America,1,,2
AR_SE,232,SAME,Santiago del Estero,South America,AM,America,1,,2
INMEG,233,SASI,Meghalaya,South Asia,AS,Asia,1,,2
CNTIA,234,NEAS,Tianjin,North East Asia,AS,Asia,1,,2
AR_TU,235,SAME,Tucuman,South America,AM,America,1,,2
AR_SJ,236,SAME,San Juan,South America,AM,America,1,,2
CA_NB,237,NAME,New Brunswick,North America,AM,America,1,,2
CA_SK,238,NAME,Saskatchewan,North America,AM,America,1,,2
CA_NS,239,NAME,Nova Scotia,North America,AM,America,1,,2
CA_YT,240,NAME,Yukon,North America,AM,America,1,,2
CA_NL,241,NAME,Newfoundland and Labrador,North America,AM,America,1,,2
CA_PE,242,NAME,Prince Edward Island,North America,AM,America,1,,2
00_00,243,0000,Unkown,Unkown,00,Unkown,1,,2
AUQLD,1,OCEA,Queensland,Oceanía,OC,Oceanía,1,,1
US_FL,2,NAME,Florida,América del norte,AM,America,1,,1
BR_PR,3,SAME,Paraná,Sudamerica,AM,America,1,,1
DENOR,4,WEUR,Norte de Rhine-Westphalia,Europa Oriental,EU,Europa,1,,1
BR_TO,5,SAME,Tocantins,Sudamerica,AM,America,1,,1
CNXIN,6,NEAS,Sinkiang,Asia nororiental,AS,Asia,1,,1
BR_MG,7,SAME,Minas Gerais,Sudamerica,AM,America,1,,1
ESCAM,8,SEUR,Castilla la Mancha,Europa del sur,EU,Europa,1,,1
US_PA,9,NAME,Pensilvania,América del norte,AM,America,1,,1
US_TX,10,NAME,Texas,América del norte,AM,America,1,,1
US_AK,11,NAME,Alaska,América del norte,AM,America,1,,1
US_NM,12,NAME,Nuevo Mexico,América del norte,AM,America,1,,1
US_SD,13,NAME,Dakota del Sur,América del norte,AM,America,1,,1
AUNSW,14,OCEA,Nueva Gales del Sur,Oceanía,OC,Oceanía,1,,1
US_GA,15,NAME,Georgia,América del norte,AM,America,1,,1
GBSCO,16,NEUR,Escocia,Norte de Europa,EU,Europa,1,,1
US_MI,17,NAME,Michigan,América del norte,AM,America,1,,1
ESCAN,18,SEUR,Islas Canarias,Europa del sur,EU,Europa,1,,1
GBDEP,19,NEUR,Dependencias de la Corona del Reino Unido,Norte de Europa,EU,Europa,1,,1
US_MA,20,NAME,Massachusetts,América del norte,AM,America,1,,1
ESVAL,21,SEUR,Comunidad Valenciana,Europa del sur,EU,Europa,1,,1
US_CA,22,NAME,California,América del norte,AM,America,1,,1
CNGUI,23,NEAS,Guizhou,Asia nororiental,AS,Asia,1,,1
US_NJ,24,NAME,New Jersey,América del norte,AM,America,1,,1
AUSOA,25,OCEA,Sur de Australia,Oceanía,OC,Oceanía,1,,1
US_OK,26,NAME,Oklahoma,América del norte,AM,America,1,,1
US_SC,27,NAME,Carolina del Sur,América del norte,AM,America,1,,1
US_MD,28,NAME,Maryland,América del norte,AM,America,1,,1
CNGXI,29,NEAS,Guangxi,Asia nororiental,AS,Asia,1,,1
ESAND,30,SEUR,Andalucía,Europa del sur,EU,Europa,1,,1
US_MN,31,NAME,Minnesota,América del norte,AM,America,1,,1
AR_BA,32,SAME,Buenos Aires,Sudamerica,AM,America,1,,1
CNMOG,33,NEAS,Mongolia interior,Asia nororiental,AS,Asia,1,,1
US_LA,34,NAME,Luisiana,América del norte,AM,America,1,,1
AR_MD,35,SAME,Mendoza,Sudamerica,AM,America,1,,1
US_CO,36,NAME,Colorado,América del norte,AM,America,1,,1
BR_MT,37,SAME,Mato Grosso,Sudamerica,AM,America,1,,1
US_NH,38,NAME,Nuevo Hampshire,América del norte,AM,America,1,,1
US_WY,39,NAME,Wyoming,América del norte,AM,America,1,,1
DEBAV,40,WEUR,Baviera,Europa Oriental,EU,Europa,1,,1
DELOW,41,WEUR,Baja sajonia,Europa Oriental,EU,Europa,1,,1
FRAQU,42,WEUR,Nueva Aquitania,Europa Oriental,EU,Europa,1,,1
US_AR,43,NAME,Arkansas,América del norte,AM,America,1,,1
INTTH,44,SASI,Uttar Pradesh,Asia del Sur,AS,Asia,1,,1
INLAK,45,SASI,Lakshadweep,Asia del Sur,AS,Asia,1,,1
AUWEA,46,OCEA,El oeste de Australia,Oceanía,OC,Oceanía,1,,1
US_NE,47,NAME,Nebraska,América del norte,AM,America,1,,1
US_WI,48,NAME,Wisconsin,América del norte,AM,America,1,,1
CNSIC,49,NEAS,Sichuan,Asia nororiental,AS,Asia,1,,1
US_OR,50,NAME,Oregón,América del norte,AM,America,1,,1
FRAUR,51,WEUR,Auvernia y Ródano-Alpes,Europa Oriental,EU,Europa,1,,1
US_IN,52,NAME,Indiana,América del norte,AM,America,1,,1
BR_SP,53,SAME,Sao Paulo,Sudamerica,AM,America,1,,1
US_IA,54,NAME,Iowa,América del norte,AM,America,1,,1
INPUN,55,SASI,Punjab,Asia del Sur,AS,Asia,1,,1
US_AL,56,NAME,Alabama,América del norte,AM,America,1,,1
FRPRO,57,WEUR,Provenza Alpes Costa Azul,Europa Oriental,EU,Europa,1,,1
US_MO,58,NAME,Misuri,América del norte,AM,America,1,,1
FRCOR,59,WEUR,Córcega,Europa Oriental,EU,Europa,1,,1
INMIZ,60,SASI,Mizorán,Asia del Sur,AS,Asia,1,,1
BR_SE,61,SAME,Sergipe,Sudamerica,AM,America,1,,1
CNSHA,62,NEAS,Shaanxi,Asia nororiental,AS,Asia,1,,1
US_OH,63,NAME,Ohio,América del norte,AM,America,1,,1
INMAH,64,SASI,Maharastra,Asia del Sur,AS,Asia,1,,1
CA_QC,65,NAME,Quebec,América del norte,AM,America,1,,1
US_NY,66,NAME,Nueva York,América del norte,AM,America,1,,1
US_IL,67,NAME,Illinois,América del norte,AM,America,1,,1
BR_RS,68,SAME,Río Grande del Sur,Sudamerica,AM,America,1,,1
BR_PA,69,SAME,Paraca,Sudamerica,AM,America,1,,1
US_WA,70,NAME,Washington,América del norte,AM,America,1,,1
INGUJ,71,SASI,Guyarat,Asia del Sur,AS,Asia,1,,1
AUNOT,72,OCEA,Territorio del Norte,Oceanía,OC,Oceanía,1,,1
FRPAY,73,WEUR,Países del Loira,Europa Oriental,EU,Europa,1,,1
US_KS,74,NAME,Kansas,América del norte,AM,America,1,,1
DETHU,75,WEUR,Turingia,Europa Oriental,EU,Europa,1,,1
CNLIA,76,NEAS,Liaoning,Asia nororiental,AS,Asia,1,,1
AR_CR,77,SAME,Corrientes,Sudamerica,AM,America,1,,1
US_VA,78,NAME,Virginia,América del norte,AM,America,1,,1
CNANH,79,NEAS,Anhui,Asia nororiental,AS,Asia,1,,1
BR_AL,80,SAME,Alagoas,Sudamerica,AM,America,1,,1
BR_GO,81,SAME,Goiás,Sudamerica,AM,America,1,,1
US_TN,82,NAME,Tennesse,América del norte,AM,America,1,,1
BR_MA,83,SAME,Maranhão,Sudamerica,AM,America,1,,1
AR_NE,84,SAME,Neuquén,Sudamerica,AM,America,1,,1
BR_RO,85,SAME,Rondonia,Sudamerica,AM,America,1,,1
AR_CB,86,SAME,Chubut,Sudamerica,AM,America,1,,1
BR_CE,87,SAME,Ceará,Sudamerica,AM,America,1,,1
AUVIC,88,OCEA,Victoria,Oceanía,OC,Oceanía,1,,1
US_NV,89,NAME,Nevada,América del norte,AM,America,1,,1
US_ND,90,NAME,Dakota del Norte,América del norte,AM,America,1,,1
FRBUR,91,WEUR,borgoña,Europa Oriental,EU,Europa,1,,1
US_ME,92,NAME,Maine,América del norte,AM,America,1,,1
ESCAL,93,SEUR,Castilla y León,Europa del sur,EU,Europa,1,,1
US_NC,94,NAME,Carolina del Norte,América del norte,AM,America,1,,1
US_AZ,95,NAME,Arizona,América del norte,AM,America,1,,1
US_HI,96,NAME,Hawai,América del norte,AM,America,1,,1
BR_SC,97,SAME,Santa Catarina,Sudamerica,AM,America,1,,1
CNNAN,98,NEAS,Henán,Asia nororiental,AS,Asia,1,,1
CNJIA,99,NEAS,Jiangsu,Asia nororiental,AS,Asia,1,,1
CNGUA,100,NEAS,Cantón,Asia nororiental,AS,Asia,1,,1
CNHAN,101,NEAS,Hainan,Asia nororiental,AS,Asia,1,,1
BR_AM,102,SAME,amazonas,Sudamerica,AM,America,1,,1
DEMEC,103,WEUR,Mecklemburgo Pomerania Occidental,Europa Oriental,EU,Europa,1,,1
INODI,104,SASI,Odisha,Asia del Sur,AS,Asia,1,,1
DERHI,105,WEUR,Renania Palatinado,Europa Oriental,EU,Europa,1,,1
GBENG,106,NEUR,Inglaterra,Norte de Europa,EU,Europa,1,,1
US_UT,107,NAME,Utah,América del norte,AM,America,1,,1
ESCAT,108,SEUR,Cataluña,Europa del sur,EU,Europa,1,,1
US_CT,109,NAME,Connecticut,América del norte,AM,America,1,,1
US_MT,110,NAME,Montana,América del norte,AM,America,1,,1
INDNI,111,SASI,Andhra Pradesh,Asia del Sur,AS,Asia,1,,1
INKAR,112,SASI,karnataka,Asia del Sur,AS,Asia,1,,1
DEBER,113,WEUR,Berlina,Europa Oriental,EU,Europa,1,,1
FRBRI,114,WEUR,Bretaña,Europa Oriental,EU,Europa,1,,1
ESBAS,115,SEUR,país Vasco,Europa del sur,EU,Europa,1,,1
CNYUN,116,NEAS,Yunnan,Asia nororiental,AS,Asia,1,,1
GBIRL,117,NEUR,Irlanda del Norte,Norte de Europa,EU,Europa,1,,1
INMAD,118,SASI,Madhya Pradesh,Asia del Sur,AS,Asia,1,,1
US_RI,119,NAME,Rhode Island,América del norte,AM,America,1,,1
US_MS,120,NAME,Misisipí,América del norte,AM,America,1,,1
CNBEJ,121,NEAS,Beijing,Asia nororiental,AS,Asia,1,,1
ESEXT,122,SEUR,Extremadura,Europa del sur,EU,Europa,1,,1
INRAJ,123,SASI,Rajastán,Asia del Sur,AS,Asia,1,,1
US_WV,124,NAME,Virginia del Oeste,América del norte,AM,America,1,,1
BR_BA,125,SAME,Bahía,Sudamerica,AM,America,1,,1
US_DC,126,NAME,Distrito de Columbia,América del norte,AM,America,1,,1
US_ID,127,NAME,Idaho,América del norte,AM,America,1,,1
FRFRA,128,WEUR,Franco Condado,Europa Oriental,EU,Europa,1,,1
FRCEN,129,WEUR,Centro,Europa Oriental,EU,Europa,1,,1
CNHEB,130,NEAS,hebei,Asia nororiental,AS,Asia,1,,1
CNTIB,131,NEAS,Tíbet,Asia nororiental,AS,Asia,1,,1
AR_RN,132,SAME,Río Negro,Sudamerica,AM,America,1,,1
DEBRE,133,WEUR,Brema,Europa Oriental,EU,Europa,1,,1
US_KY,134,NAME,Kentucky,América del norte,AM,America,1,,1
BR_DF,135,SAME,Distrito Federal,Sudamerica,AM,America,1,,1
US_VT,136,NAME,Vermont,América del norte,AM,America,1,,1
FRILE,137,WEUR,Isla de Francia,Europa Oriental,EU,Europa,1,,1
BR_RR,138,SAME,Roraima,Sudamerica,AM,America,1,,1
AUTAS,139,OCEA,Tasmania,Oceanía,OC,Oceanía,1,,1
FRUPP,140,WEUR,Altos de Francia,Europa Oriental,EU,Europa,1,,1
BR_MS,141,SAME,Mato Grosso del Sur,Sudamerica,AM,America,1,,1
BR_RJ,142,SAME,Rio de Janeiro,Sudamerica,AM,America,1,,1
FRLAN,143,WEUR,Occitania,Europa Oriental,EU,Europa,1,,1
BR_PE,144,SAME,Pernambuco,Sudamerica,AM,America,1,,1
INAND,145,SASI,Islas Andamán y Nicobar,Asia del Sur,AS,Asia,1,,1
AUACT,146,OCEA,Territorio de la Capital de Australia,Oceanía,OC,Oceanía,1,,1
DEBRA,147,WEUR,Brandeburgo,Europa Oriental,EU,Europa,1,,1
CNDON,148,NEAS,Shandong,Asia nororiental,AS,Asia,1,,1
INKER,149,SASI,Kerala,Asia del Sur,AS,Asia,1,,1
INWES,150,SASI,al oeste de Bengala,Asia del Sur,AS,Asia,1,,1
BR_ES,151,SAME,Espíritu Santo,Sudamerica,AM,America,1,,1
FRNOR,152,WEUR,Normandía,Europa Oriental,EU,Europa,1,,1
