CITYCODE,ID,CITYNAME,COUNTRYCODE,REGIONCODE,COUNTRYNAME,ISO_CODE,SUBCONTINENTCODE,REGIONNAME,SUBCONTINENTNAME,CONTINENTCODE,CONTINENTNAME,ACTIVESTATUS,LATITUDE_NUM,LONGITUDE_NUM,LANGUAGE_KEY,LOAD_TIME
ATC,415,Arthur's Town,BS,,Bahames,BHS,CRBN,,Carib,AM,Amèrica,1,24.6224779,-75.6754967,3,
ATD,416,Atoifi,SB,,Illes Salomó,SLB,OCEA,,Oceània,OC,Oceània,1,-9.6188478,160.1732178,3,
ATE,417,Antlers,US,US_OK,EUA,USA,NAME,Oklahoma,Amèrica del Nord,AM,Amèrica,1,34.23127,-95.61989,3,
ATF,418,Ambato,EC,,Equador,ECU,SAME,,Amèrica del Sud,AM,Amèrica,1,"-12,422,413","-786,287,594",3,
ATG,419,Attock,PK,,Pakistan,PAK,SASI,,Àsia del Sud,AS,Àsia,1,33.7695323,72.3610911,3,
ATH,420,Atenes,GR,,Grècia,GRC,SEUR,,Sud d'Europa,EU,Europa,1,37.9755648,23.7348324,3,
ATI,421,Artigas,UY,,Uruguai,URY,SAME,,Amèrica del Sud,AM,Amèrica,1,"-303,984,136","-564,638,078",3,
ATJ,422,Antsirabe,MG,,Madagascar,MDG,SAFR,,Àfrica subsahariana,AF,Àfrica,1,-19.871403,47.034667,3,
ATK,423,Atqasuk,US,US_AK,USA,USA,NAME,Alaska,Amèrica del Nord,AM,Amèrica,1,39.55008335,-78.84492754,3,
ATL,424,Atlanta,US,US_GA,EUA,USA,NAME,Geòrgia,Amèrica del Nord,AM,Amèrica,1,33.9255194,-84.34662035,3,
ATM,425,Altamira,BR,BR_PA,Brasil,BRA,SAME,Para,Amèrica del Sud,AM,Amèrica,1,-3.204065,-52.209961,3,
ATN,426,Namatanai,PG,,Papua Nova Guinea,PNG,OCEA,,Oceània,OC,Oceània,1,-3.6641739,152.4407285,3,
ATO,427,Atenes,US,US_OH,EUA,USA,NAME,Ohio,Amèrica del Nord,AM,Amèrica,1,40.60266815,-75.37519683,3,
ATP,428,Aitape,PG,,Papua Nova Guinea,PNG,OCEA,,Oceània,OC,Oceània,1,-3.1510222,142.3594389,3,
ATQ,429,Amritsar,IN,INPUN,Índia,IND,SASI,Punjab,Àsia del Sud,AS,Àsia,1,31.6343083,74.8736788,3,
