AIRLINEIATACODE,ID,AIRLINENAME,BIZMODEL,ACTIVESTATUS,GROUPNAME,HUBAIRPORTIATACODE,COUNTRYCODE,STARTDATE,ENDDATE,LOAD_TIME
A9,181,Georgian Airways,Full Service Carrier,1,,TBS,GE,01/01/2000,31/12/2199,
AA,182,American Airlines,Full Service Carrier,1,American Airlines Group Inc.,DFW,US,15/04/1926,31/12/2199,
AC,183,Air Canada,Full Service Carrier,1,Air Canada Group,YYZ,CA,01/01/2000,31/12/2199,
AD,184,Azul,Low Cost Carrier,1,,VCP,BR,01/01/2000,31/12/2199,
AE,185,Mandarin Airlines,Full Service Carrier,1,China Airlines Group,RMQ,TW,01/06/1991,31/12/2199,
AF,186,Air France,Full Service Carrier,1,Air France-Klm S.A.,CDG,FR,01/01/2000,31/12/2199,
AG,187,Aruba Airlines,Full Service Carrier,1,,AUA,AW,01/01/2000,31/12/2199,
AH,188,Air Algerie,Full Service Carrier,1,,ALG,DZ,01/01/2000,31/12/2199,
AI,189,Air India,Full Service Carrier,1,Air India Limited,DEL,IN,01/01/2000,31/12/2199,
AJ,190,Aztec Airways,Charter,1,,FXE,US,01/01/2000,31/12/2199,
AK,191,Airasia,Low Cost Carrier,1,Capital A Berhad,KUL,MY,01/01/2000,31/12/2199,
AL,192,Malta Air,Low Cost Carrier,1,Ryanair Holdings Plc,MLA,MT,01/01/2000,31/12/2199,
AM,193,Aeromexico,Full Service Carrier,1,Aeromexico Group,MEX,MX,01/01/2000,31/12/2199,
AN,194,Advanced Air, Llc,Regional/Commuter,1,,HHR,US,01/01/2000,31/12/2199,
AO,195,Air Juan,Charter,1,,MNL,PH,01/01/2000,31/12/2199,
AP,196,Albastar,Charter,1,,PMI,ES,31/07/2010,31/12/2199,
AQ,197,9 Air,Low Cost Carrier,1,Juneyao Airlines Group,CAN,CN,02/12/2014,31/12/2199,
AR,198,Aerolineas Argentinas,Full Service Carrier,1,AerolÃ­neas Argentinas S.A.,AEP,AR,01/01/2000,31/12/2199,
AS,199,Alaska Airlines,Full Service Carrier,1,Alaska Air Group Inc.,SEA,US,01/01/2000,31/12/2199,
AT,200,Royal Air Maroc,Full Service Carrier,1,,CMN,MA,01/01/2000,31/12/2199,
AV,201,Avianca,Full Service Carrier,1,Avianca Group International Limited,BOG,CO,01/01/2000,31/12/2199,
AW,202,Africa World Airlines,Regional/Commuter,1,,ACC,GH,21/09/2012,31/12/2199,
AY,203,Finnair,Full Service Carrier,1,Finnair Group,HEL,FI,01/01/2000,31/12/2199,
B0,204,La Compagnie,Full Service Carrier,1,,CDG,FR,21/07/2014,31/12/2199,
B1,205,Air Bucharest,Charter,1,,OTP,RO,01/01/2000,31/12/2199,
B2,206,Belavia,Regional/Commuter,1,,MSQ,BY,05/03/1996,31/12/2199,
B3,207,Bhutan Airlines,Regional/Commuter,1,,PBH,BT,01/01/2000,31/12/2199,
B4,208,Zanair,Regional/Commuter,1,,ZNZ,TZ,01/01/2000,31/12/2199,
B5,209,Eastafrican,Regional/Commuter,1,,NBO,KE,01/01/2000,31/12/2199,
B6,210,Jetblue Airways,Low Cost Carrier,1,,JFK,US,11/02/2000,31/12/2199,
B7,211,Uni Air,Full Service Carrier,1,Evergreen Group,TSA,TW,01/01/2000,31/12/2199,
B8,212,Eritrean Airlines,Charter,1,,ASM,ER,01/01/2000,31/12/2199,
B9,213,Iran Air Tours,Full Service Carrier,1,,THR,IR,01/01/2000,31/12/2199,
BA,214,British Airways,Full Service Carrier,1,International Airlines Group (Iag),LHR,GB,25/08/1919,31/12/2199,
BB,215,Seaborne Airlines,Regional/Commuter,1,,SPB,VI,01/01/2000,31/12/2199,
BC,216,Skymark Airlines,Low Cost Carrier,1,Ana Holdings Inc,HND,JP,01/01/2000,31/12/2199,
BE,217,Flybe,Low Cost Carrier,1,,BHX,GB,01/01/1979,31/12/2199,
BF,218,French Bee,Low Cost Carrier,1,,ORY,FR,10/09/2016,31/12/2199,
BG,219,Biman Bangladesh Airlines,Full Service Carrier,1,,DAC,BD,01/01/2000,31/12/2199,
BI,220,Royal Brunei Airlines,Full Service Carrier,1,,BWN,BN,14/05/1975,31/12/2199,
BJ,221,Nouvelair Tunisie,Full Service Carrier,1,,MIR,TN,01/01/2000,31/12/2199,
BK,222,Okay Airways,Full Service Carrier,1,,TSN,CN,11/03/2005,31/12/2199,
BL,223,Pacific Airlines,Low Cost Carrier,1,Vietnam Airlines Corporation,SGN,VN,01/01/2000,31/12/2199,
BM,224,Medsky Airways,Full Service Carrier,1,,TIP,LY,01/01/2000,31/12/2199,
BP,225,Air Botswana,Full Service Carrier,1,,GBE,BW,01/01/2000,31/12/2199,
BR,226,Eva Air,Full Service Carrier,1,Evergreen Group,TPE,TW,01/01/2000,31/12/2199,
BS,227,British International,Other,1,,PZE,GB,01/01/2000,31/12/2199,
BS,228,Us-Bangla Airlines,Full Service Carrier,1,,DAC,BD,17/07/2014,31/12/2199,
BT,229,Airbaltic,Low Cost Carrier,1,,RIX,LV,01/01/2000,31/12/2199,
BU,230,Flycaa - Compagnie Africaine D'Aviation,Charter,1,,FIH,CD,01/01/2000,31/12/2199,
