REGIONCODE,ID,SUBCONTINENTCODE,REGIONNAME,SUBCONTINENTNAME,CONTINENTCODE,CONTINENTNAME,ACTIVESTATUS,LOAD_TIME
AR_MI,190,SAME,Misiones,South America,AM,America,1,
ESMUR,191,SEUR,Murcia,Southern Europe,EU,Europe,1,
DESCH,192,WEUR,Schleswig Holstein,Western Europe,EU,Europe,1,
DEBAD,193,WEUR,Baden Wurttemberg,Western Europe,EU,Europe,1,
BR_PI,194,SAME,Piaui,South America,AM,America,1,
CNFUJ,195,NEAS,Fujian,North East Asia,AS,Asia,1,
DEHES,196,WEUR,Hesse,Western Europe,EU,Europe,1,
ESMAD,197,SEUR,Madrid Community,Southern Europe,EU,Europe,1,
CNQIN,198,NEAS,Qinghai,North East Asia,AS,Asia,1,
INGOA,199,SASI,Goa,South Asia,AS,Asia,1,
AR_LP,200,SAME,La Pampa,South America,AM,America,1,
CNNIN,201,NEAS,Ningxia,North East Asia,AS,Asia,1,
DEHAM,202,WEUR,Hamburg,Western Europe,EU,Europe,1,
ESARA,203,SEUR,Aragon,Southern Europe,EU,Europe,1,
INHAR,204,SASI,Haryana,South Asia,AS,Asia,1,
ESBAL,205,SEUR,Balearic Islands,Southern Europe,EU,Europe,1,
CA_MB,206,NAME,Manitoba,North America,AM,America,1,
INMAN,207,SASI,Manipur,South Asia,AS,Asia,1,
AR_LR,208,SAME,La Rioja,South America,AM,America,1,
INTRI,209,SASI,Tripura,South Asia,AS,Asia,1,
INCHA,210,SASI,Chandigarh,South Asia,AS,Asia,1,
INJAM,211,SASI,Jammu & Kashmir,South Asia,AS,Asia,1,
ESGAL,212,SEUR,Galicia,Southern Europe,EU,Europe,1,
ESCEU,213,SEUR,Ceuta,Southern Europe,EU,Europe,1,
CNJXI,214,NEAS,Jiangxi,North East Asia,AS,Asia,1,
INCHH,215,SASI,Chhattisgarh,South Asia,AS,Asia,1,
CA_NU,216,NAME,Nunavut,North America,AM,America,1,
AR_PJ,217,SAME,Jujuy,South America,AM,America,1,
CA_ON,218,NAME,Ontario,North America,AM,America,1,
ESRIO,219,SEUR,La Rioja,Southern Europe,EU,Europe,1,
AR_SL,220,SAME,San Luis,South America,AM,America,1,
BR_AP,221,SAME,Amapa,South America,AM,America,1,
ESMEL,222,SEUR,Melilla,Southern Europe,EU,Europe,1,
BR_RN,223,SAME,Rio Grande do Norte,South America,AM,America,1,
AR_SA,224,SAME,Salta,South America,AM,America,1,
ESAST,225,SEUR,Asturias,Southern Europe,EU,Europe,1,
INPUD,226,SASI,Puducherry,South Asia,AS,Asia,1,
CNSAN,227,NEAS,Shanghai,North East Asia,AS,Asia,1,
INSIK,228,SASI,Sikkim,South Asia,AS,Asia,1,
DESAA,229,WEUR,Saarland,Western Europe,EU,Europe,1,
DEGEN,230,WEUR,Generic,Western Europe,EU,Europe,1,
AR_TF,231,SAME,Tierra del Fuego,South America,AM,America,1,
AR_SE,232,SAME,Santiago del Estero,South America,AM,America,1,
INMEG,233,SASI,Meghalaya,South Asia,AS,Asia,1,
CNTIA,234,NEAS,Tianjin,North East Asia,AS,Asia,1,
AR_TU,235,SAME,Tucuman,South America,AM,America,1,
AR_SJ,236,SAME,San Juan,South America,AM,America,1,
CA_NB,237,NAME,New Brunswick,North America,AM,America,1,
CA_SK,238,NAME,Saskatchewan,North America,AM,America,1,
CA_NS,239,NAME,Nova Scotia,North America,AM,America,1,
CA_YT,240,NAME,Yukon,North America,AM,America,1,
CA_NL,241,NAME,Newfoundland and Labrador,North America,AM,America,1,
CA_PE,242,NAME,Prince Edward Island,North America,AM,America,1,
00_00,243,0000,Unkown,Unkown,00,Unkown,1,
