AIRPORTIATACODE,ID,AIRPORTICAOCODE,TERMINALCODE,AIRPORTNAME,CITYCODE,CITYNAME,COUNTRYCODE,REGIONCODE,COUNTRYNAME,ISO_CODE,SUBCONTINENTCODE,REGIONNAME,SUBCONTINENTNAME,CONTINENTCODE,CONTINENTNAME,ACTIVESTATUS,AIRPORTLATITUDE,AIRPORTLONGITUDE,LOAD_TIME
CAB,1199,FNCA,,Cabinda Airport,CAB,Cabinda,AO,,Angola,AGO,SAFR,,Subsaharan Africa,AF,Africa,1,-5.583333,12.2,
CAC,1200,SBCA,,Cascavel Airport,CAC,Cascavel,BR,BR_PR,Brazil,BRA,SAME,Parana,South America,AM,America,1,-25.001606,-53.501565,
CAD,1201,KCAD,,Wexford County Airport,CAD,Cadillac,US,US_MI,U.S.A.,USA,NAME,Michigan,North America,AM,America,1,44.275833,-85.422222,
CAE,1202,KCAE,,Columbia Metropolitan Airport,CAE,Columbia,US,US_SC,U.S.A.,USA,NAME,South Carolina,North America,AM,America,1,33.938804,-81.119497,
CAF,1203,SWCA,,Carauari Airport,CAF,Carauari,BR,BR_AM,Brazil,BRA,SAME,Amazonas,South America,AM,America,1,-4.9,-66.916667,
CAG,1204,LIEE,,Cagliari Elmas Airport,CAG,Cagliari,IT,,Italy,ITA,SEUR,,Southern Europe,EU,Europe,1,39.254333,9.060673,
CAH,1205,VVCM,,Ca Mau Airport,CAH,Ca Mau,VN,,Vietnam,VNM,SEAS,,South East Asia,AS,Asia,1,9.175556,105.179444,
CAI,1206,HECA,,Cairo International Airport,CAI,Cairo,EG,,Egypt,EGY,MIDE,,Middle East,AS,Asia,1,30.120106,31.406469,
CAJ,1207,SVCN,,Canaima Airport,CAJ,Canaima,VE,,Venezuela,VEN,SAME,,South America,AM,America,1,6.240634,-62.853511,
CAK,1208,KCAK,,Akron-Canton Airport,CAK,Akron,US,US_OH,U.S.A.,USA,NAME,Ohio,North America,AM,America,1,40.914962,-81.435831,
CAL,1209,EGEC,,Machrihanish Airport,CAL,Campbeltown,GB,GBSCO,United Kingdom,GBR,NEUR,Scotland,Northern Europe,EU,Europe,1,55.436389,-5.686667,
CAM,1210,SLCA,,Camiri Airport,CAM,Camiri,BO,,Bolivia,BOL,SAME,,South America,AM,America,1,-20.011111,-63.561111,
CAN,1211,ZGGG,,Guangzhou Baiyun International Airport,CAN,Guangzhou,CN,CNGUA,China,CHN,NEAS,Guangdong,North East Asia,AS,Asia,1,23.387862,113.29734,
CAO,1212,KCAO,,Clayton Municipal Airpark,CAO,Clayton,US,US_NM,U.S.A.,USA,NAME,New Mexico,North America,AM,America,1,36.446061,-103.153654,
CAP,1213,MTCH,,Hugo Chavez International Airport,CAP,Cap Haitien,HT,,Haiti,HTI,CRBN,,Caribbean,AM,America,1,19.732778,-72.195,
CAQ,1214,SKCU,,Juan H. White Airport,CAQ,Caucasia,CO,,Colombia,COL,SAME,,South America,AM,America,1,7.967905,-75.197183,
CAR,1215,KCAR,,Caribou Municipal Airport,CAR,Caribou,US,US_ME,U.S.A.,USA,NAME,Maine,North America,AM,America,1,46.866667,-68.016667,
CAT,1216,LPCS,,Cascais Municipal Aerodrome,CAT,Tires,PT,,Portugal,PRT,SEUR,,Southern Europe,EU,Europe,1,38.725556,-9.355278,
CAU,1217,SNRU,,Caruaru Airport,CAU,Caruaru,BR,BR_PE,Brazil,BRA,SAME,Pernambuco,South America,AM,America,1,-8.25,-35.916667,
CAV,1218,,,Cazombo Airport,CAV,Cazombo,AO,,Angola,AGO,SAFR,,Subsaharan Africa,AF,Africa,1,-11.9,22.866667,
CAW,1219,SBCP,,Bartolomeu Lisandro Airport,CAW,Campos,BR,BR_RJ,Brazil,BRA,SAME,Rio de Janeiro,South America,AM,America,1,-21.700159,-41.303481,
CAX,1220,EGNC,,Carlisle Airport,CAX,Carlisle,GB,GBENG,United Kingdom,GBR,NEUR,England,Northern Europe,EU,Europe,1,54.936667,-2.809444,
CAY,1221,SOCA,,Felix Eboue Airport,CAY,Cayenne,GF,,French Guiana,GUF,SAME,,South America,AM,America,1,4.816667,-52.366667,
CAZ,1222,YCBA,,Cobar Airport,CAZ,Cobar,AU,AUNSW,Australia,AUS,OCEA,New South Wales,Oceania,OC,Oceania,1,-31.536796,145.796588,
CBA,1223,,,Cordoba Bus Station,ODB,Cordoba,ES,ESAND,Spain,ESP,SEUR,Andalusia,Southern Europe,EU,Europe,1,37.88944444,-4.790277778,
CBB,1224,SLCB,,J Wilsterman Airport,CBB,Cochabamba,BO,,Bolivia,BOL,SAME,,South America,AM,America,1,-17.413954,-66.178896,
CBC,1225,,,Cherrabun Airport,CBC,Cherrabun,AU,AUWEA,Australia,AUS,OCEA,Western Australia,Oceania,OC,Oceania,1,-18.916667,125.55,
CBD,1226,VOCX,,Car Nicobar Air Force Base,CBD,Car Nicobar,IN,INAND,India,IND,SASI,Andaman and Nicobar Islands,South Asia,AS,Asia,1,9.156177,92.821031,
CBE,1227,KCBE,,Wiley Ford Airport,CBE,Cumberland,US,US_MD,U.S.A.,USA,NAME,Maryland,North America,AM,America,1,39.614444,-78.766111,
CBF,1228,KCBF,,Council Bluffs Municipal Airport,CBF,Council Bluffs,US,US_IA,U.S.A.,USA,NAME,Iowa,North America,AM,America,1,41.259926,-95.757689,
CBG,1229,EGSC,,Cambridge Airport,CBG,Cambridge,GB,GBENG,United Kingdom,GBR,NEUR,England,Northern Europe,EU,Europe,1,52.208044,0.177738,
CBH,1230,DAOR,,Leger Airport,CBH,Bechar,DZ,,Algeria,DZA,NAFR,,North Africa,AF,Africa,1,31.647778,-2.259722,
CBI,1231,,,Cape Barren Island Airport,CBI,Cape Barren Island,AU,AUTAS,Australia,AUS,OCEA,Tasmania,Oceania,OC,Oceania,1,-40.390074,148.01664,
CBJ,1232,MDCR,,Cabo Rojo Airport,CBJ,Cabo Rojo,DO,,Dominican Republic,DOM,CRBN,,Caribbean,AM,America,1,17.933333,-71.65,
CBK,1233,KCBK,,Colby Municipal Airport,CBK,Colby,US,US_KS,U.S.A.,USA,NAME,Kansas,North America,AM,America,1,39.426141,-101.050303,
CBL,1234,SVCB,,Tomas de Heres Airport,CBL,Ciudad Bolivar,VE,,Venezuela,VEN,SAME,,South America,AM,America,1,8.122381,-63.534656,
CBM,1235,KCBM,,Columbus Air Force Base,UBS,Columbus,US,US_MS,U.S.A.,USA,NAME,Mississippi,North America,AM,America,1,33.64384,-88.444666,
CBN,1236,,,Penggung Airport,CBN,Cirebon,ID,,Indonesia,IDN,SEAS,,South East Asia,AS,Asia,1,-6.75,108.533333,
CBO,1237,RPMC,,Awang Airport,CBO,Cotabato,PH,,Philippines,PHL,SEAS,,South East Asia,AS,Asia,1,7.161412,124.214639,
CBP,1238,LPCO,,Coimbra Airport,CBP,Coimbra,PT,,Portugal,PRT,SEUR,,Southern Europe,EU,Europe,1,40.2,-8.416667,
CBQ,1239,DNCA,,Calabar Airport,CBQ,Calabar,NG,,Nigeria,NGA,SAFR,,Subsaharan Africa,AF,Africa,1,4.96889,8.347415,
CBR,1240,YSCB,,Canberra Airport,CBR,Canberra,AU,AUACT,Australia,AUS,OCEA,Australia Capital Territory,Oceania,OC,Oceania,1,-35.30735,149.190528,
CBS,1241,,,Oro Negro Airport,CBS,Cabimas,VE,,Venezuela,VEN,SAME,,South America,AM,America,1,10.383333,-71.416667,
CBT,1242,FNCM,,Catumbela Airport,CBT,Catumbela,AO,,Angola,AGO,SAFR,,Subsaharan Africa,AF,Africa,1,-12.483333,13.483333,
CBU,1243,ETHT,,Cottbus Airport,CBU,Cottbus,DE,DEBRA,Germany,DEU,WEUR,Brandenburg,Western Europe,EU,Europe,1,51.770278,14.299167,
CBV,1244,,,Coban Airport,CBV,Coban,GT,,Guatemala,GTM,CAME,,Central America,AM,America,1,15.471667,-90.409167,
CBW,1245,,,Campo Mourao Airport,CBW,Campo Mourao,BR,BR_PR,Brazil,BRA,SAME,Parana,South America,AM,America,1,-24.001944,-52.356389,
CBX,1246,YCDO,,Condobolin Airport,CBX,Condobolin,AU,AUNSW,Australia,AUS,OCEA,New South Wales,Oceania,OC,Oceania,1,-33.866667,148.25,
CBY,1247,,,Canobie Airport,CBY,Canobie,AU,AUQLD,Australia,AUS,OCEA,Queensland,Oceania,OC,Oceania,1,-19.478611,140.926111,
CBZ,1248,,,Binzhou Dagao General Airport,CBZ,Binzhou,CN,CNDON,China,CHN,NEAS,Shandong,North East Asia,AS,Asia,1,37.61,117.8858333,
CCA,1249,SLCH,,Chimore Airport,CCA,Chimore,BO,,Bolivia,BOL,SAME,,South America,AM,America,1,-16.98975,-65.1415,
CCB,1250,KCCB,,Cable Airport,CCB,Upland,US,US_CA,U.S.A.,USA,NAME,California,North America,AM,America,1,34.111563,-117.687638,
CCC,1251,MUCC,,Jardines del Rey Airport,CCC,Cayo Coco,CU,,Cuba,CUB,CRBN,,Caribbean,AM,America,1,22.461111,-78.328611,
CCD,1252,,,Century City Airport,LAX,Los Angeles,US,US_CA,U.S.A.,USA,NAME,California,North America,AM,America,1,34.066667,-118.266667,
CCE,1253,HECP,,Cairo Capital International Airport,CAI,Cairo,EG,,Egypt,EGY,MIDE,,Middle East,AS,Asia,1,30.07222,31.83333,
CCF,1254,LFMK,,Carcassonne Airport,CCF,Carcassonne,FR,FRLAN,France,FRA,WEUR,Occitania,Western Europe,EU,Europe,1,43.215476,2.308594,
CCG,1255,,,Crane County Airport,CCG,Crane,US,US_TX,U.S.A.,USA,NAME,Texas,North America,AM,America,1,31.4,-102.35,
CCH,1256,SCCC,,Chile Chico Airport,CCH,Chile Chico,CL,,Chile,CHL,SAME,,South America,AM,America,1,-46.55,-71.7,
CCI,1257,SSCK,,Concordia Airport,CCI,Concordia,BR,BR_SC,Brazil,BRA,SAME,Santa Catarina,South America,AM,America,1,-27.181389,-52.050556,
CCJ,1258,VOCL,,Calicut International Airport,CCJ,Kozhikode,IN,INKER,India,IND,SASI,Kerala,South Asia,AS,Asia,1,11.138782,75.949976,
CCK,1259,YPCC,,Cocos Islands Airport,CCK,Cocos Islands,CC,,Cocos (Keeling) Islands,CCK,SEAS,,South East Asia,AS,Asia,1,-12.1883,96.8339,
CCL,1260,YCCA,,Chinchilla Airport,CCL,Chinchilla,AU,AUQLD,Australia,AUS,OCEA,Queensland,Oceania,OC,Oceania,1,-26.772339,150.61823,
CCM,1261,SBCM,,Criciuma Airport,CCM,Criciuma,BR,BR_SC,Brazil,BRA,SAME,Santa Catarina,South America,AM,America,1,-28.7,-49.366667,
CCN,1262,OACC,,Chaghcharan Airport,CCN,Chaghcharan,AF,,Afghanistan,AFG,SASI,,South Asia,AS,Asia,1,34.524826,65.265506,
CCO,1263,,,Carimagua Airport,CCO,Carimagua,CO,,Colombia,COL,SAME,,South America,AM,America,1,4.566667,-71.333333,
CCP,1264,SCIE,,Carriel Sur Airport,CCP,Concepcion,CL,,Chile,CHL,SAME,,South America,AM,America,1,-36.777121,-73.059444,
CCR,1265,KCCR,,Buchanan Field,CCR,Concord,US,US_CA,U.S.A.,USA,NAME,California,North America,AM,America,1,37.988889,-122.055556,
CCS,1266,SVMI,,Simon Bolivar International Airport,CCS,Caracas,VE,,Venezuela,VEN,SAME,,South America,AM,America,1,10.596942,-67.005511,
CCT,1267,,,Colonia Catriel Airport,CCT,Colonia Catriel,AR,AR_RN,Argentina,ARG,SAME,Rio Negro,South America,AM,America,1,-39.5,-68.916667,
CCU,1268,VECC,,Netaji Subhas Chandra Bose Airport,CCU,Kolkata,IN,INWES,India,IND,SASI,West Bengal,South Asia,AS,Asia,1,22.64531,88.439306,
CCV,1269,NVSF,,Craig Cove Airport,CCV,Craig Cove,VU,,Vanuatu,VUT,OCEA,,Oceania,OC,Oceania,1,-16.2,167.5,
CCW,1270,YCWL,,Cowell Airport,CCW,Cowell,AU,AUSOA,Australia,AUS,OCEA,South Australia,Oceania,OC,Oceania,1,-33.633333,136.833333,
CCX,1271,SWKC,,Caceres Airport,CCX,Caceres,BR,BR_MT,Brazil,BRA,SAME,Mato Grosso,South America,AM,America,1,-16.066667,-57.7,
CCY,1272,KCCY,,Charles City Municipal Airport,CCY,Charles City,US,US_IA,U.S.A.,USA,NAME,Iowa,North America,AM,America,1,43.066667,-92.683333,
CCZ,1273,MYBC,,Chub Cay Airport,CCZ,Chub Cay,BS,,Bahamas,BHS,CRBN,,Caribbean,AM,America,1,25.4175,-77.881389,
CDA,1274,YCOO,,Cooinda Airport,CDA,Cooinda,AU,AUNOT,Australia,AUS,OCEA,Northern Territory,Oceania,OC,Oceania,1,-12.905278,132.5225,
CDB,1275,PACD,,Cold Bay Airport,CDB,Cold Bay,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,55.198716,-162.721354,
CDC,1276,KCDC,,Cedar City Airport,CDC,Cedar City,US,US_UT,U.S.A.,USA,NAME,Utah,North America,AM,America,1,37.7025,-113.096111,
CDD,1277,,,Cauquira Airport,CDD,Cauquira,HN,,Honduras,HND,CAME,,Central America,AM,America,1,15.322222,-83.602778,
CDE,1278,,,Puning Airport,CDE,Chengde,CN,CNHEB,China,CHN,NEAS,Hebei,North East Asia,AS,Asia,1,41.123079,118.07135,
CDG,1279,LFPG,,Charles de Gaulle Airport,PAR,Paris,FR,FRILE,France,FRA,WEUR,Ile de France,Western Europe,EU,Europe,1,49.003196,2.567023,
CDH,1280,KCDH,,Harrell Field,CDH,Camden,US,US_AR,U.S.A.,USA,NAME,Arkansas,North America,AM,America,1,33.583333,-92.833333,
CDI,1281,,,Cachoeiro de Itapemirim Airport,CDI,Cachoeiro de Itapemirim,BR,BR_ES,Brazil,BRA,SAME,Espirito Santo,South America,AM,America,1,-20.836111,-41.186944,
CDJ,1282,SBAA,,Conceicao Do Araguaia Airport,CDJ,Conceicao Do Araguaia,BR,BR_PA,Brazil,BRA,SAME,Para,South America,AM,America,1,-8.233333,-49.283333,
CDK,1283,KCDK,,Lewis Airport,CDK,Cedar Key,US,US_FL,U.S.A.,USA,NAME,Florida,North America,AM,America,1,29.133333,-83.033333,
CDL,1284,,,Candle Airport,CDL,Candle,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,65.908056,-161.938333,
CDM,1285,,,Colonia del Sacramento - Fluvial Bus Station,CYR,Colonia del Sacramento,UY,,Uruguay,URY,SAME,,South America,AM,America,1,-34.47277778,-57.84277778,
CDN,1286,KCDN,,Woodward Field,CDN,Camden,US,US_SC,U.S.A.,USA,NAME,South Carolina,North America,AM,America,1,34.266667,-80.6,
CDO,1287,,,Cradock Airport,CDO,Cradock,ZA,,South Africa,ZAF,SAFR,,Subsaharan Africa,AF,Africa,1,-32.133333,25.6,
CDP,1288,VOCP,,Kadapa Airport,CDP,Kadapa,IN,INDNI,India,IND,SASI,Andhra Pradesh,South Asia,AS,Asia,1,14.514583,78.76478,
CDQ,1289,YCRY,,Croydon Airport,CDQ,Croydon,AU,AUQLD,Australia,AUS,OCEA,Queensland,Oceania,OC,Oceania,1,-18.3,142.25,
CDR,1290,KCDR,,Chadron Airport,CDR,Chadron,US,US_NE,U.S.A.,USA,NAME,Nebraska,North America,AM,America,1,42.835,-103.097778,
CDS,1291,KCDS,,Childress Municipal Airport,CDS,Childress,US,US_TX,U.S.A.,USA,NAME,Texas,North America,AM,America,1,37.416667,-100.216667,
CDT,1292,LECH,,Aeroport de Castello,CDT,Castellon De La Plana,ES,ESVAL,Spain,ESP,SEUR,Valencian Community,Southern Europe,EU,Europe,1,40.213889,0.073333,
CDU,1293,YSCN,,Camden Airport,CDU,Camden,AU,AUNSW,Australia,AUS,OCEA,New South Wales,Oceania,OC,Oceania,1,-34.038161,150.687016,
CDV,1294,PACV,,Mudhole Smith Airport,CDV,Cordova,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,60.493056,-145.47,
CDW,1295,KCDW,,Essex County Airport,CDW,Caldwell,US,US_NJ,U.S.A.,USA,NAME,New Jersey,North America,AM,America,1,40.875005,-74.28021,
CDY,1296,RPMU,,Cagayan De Sulu Airport,CDY,Mapun,PH,,Philippines,PHL,SEAS,,South East Asia,AS,Asia,1,7.013611,118.495,
CDZ,1297,,,Cadiz Airport,CDZ,Cadiz,ES,ESAND,Spain,ESP,SEUR,Andalusia,Southern Europe,EU,Europe,1,36.533333,-6.3,
CEA,1298,KCEA,,Cessna Aircraft Field,ICT,Wichita,US,US_KS,U.S.A.,USA,NAME,Kansas,North America,AM,America,1,37.7,-97.333333,
CEB,1299,RPVM,,Mactan-Cebu International Airport,CEB,Cebu City,PH,,Philippines,PHL,SEAS,,South East Asia,AS,Asia,1,10.313333,123.982778,
CEC,1300,KCEC,,Del Norte County Regional Airport,CEC,Crescent City,US,US_CA,U.S.A.,USA,NAME,California,North America,AM,America,1,41.78,-124.235833,
CED,1301,YCDU,,Ceduna Airport,CED,Ceduna,AU,AUSOA,Australia,AUS,OCEA,South Australia,Oceania,OC,Oceania,1,-32.123779,133.701218,
CEE,1302,,,Cherepovets Airport,CEE,Cherepovets,RU,,Russia,RUS,EEUR,,Central/Eastern Europe,EU,Europe,1,59.283333,38.066667,
CEF,1303,KCEF,,Westover Metropolitan Airport,SFY,Springfield,US,US_MA,U.S.A.,USA,NAME,Massachusetts,North America,AM,America,1,42.183377,-72.553834,
CEG,1304,EGNR,,Hawarden Airport,CEG,Chester,GB,GBENG,United Kingdom,GBR,NEUR,England,Northern Europe,EU,Europe,1,53.178603,-2.970718,
CEH,1305,FWCD,,Chelinda Airport,CEH,Chelinda,MW,,Malawi,MWI,SAFR,,Subsaharan Africa,AF,Africa,1,-10.55,33.8,
CEI,1306,VTCT,,Chiang Rai International Airport,CEI,Chiang Rai,TH,,Thailand,THA,SEAS,,South East Asia,AS,Asia,1,19.954608,99.878811,
CEJ,1307,,,Cuenca Rail Station,CUE,Cuenca,EC,,Ecuador,ECU,SAME,,South America,AM,America,1,40.0675,-2.136666667,
CEK,1308,USCC,,Chelyabinsk International Airport,CEK,Chelyabinsk,RU,,Russia,RUS,EEUR,,Central/Eastern Europe,EU,Europe,1,55.297506,61.51235,
CEL,1309,,,Canela Airport,QCN,Canela,BR,BR_TO,Brazil,BRA,SAME,Tocantins,South America,AM,America,1,-29.37055556,-50.83222222,
CEM,1310,,,Central Airport,CEM,Central,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,65.574722,-144.781944,
CEN,1311,MMCN,,Ciudad Obregon Airport,CEN,Ciudad Obregon,MX,,Mexico,MEX,NAME,,North America,AM,America,1,27.391944,-109.839167,
CEO,1312,FNWK,,Wako Kungo Airport,CEO,Wako Kungo,AO,,Angola,AGO,SAFR,,Subsaharan Africa,AF,Africa,1,-11.426389,15.101389,
CEP,1313,SLCP,,Concepcion Airport,CEP,Concepcion,BO,,Bolivia,BOL,SAME,,South America,AM,America,1,-16.233333,-62.083333,
CEQ,1314,LFMD,,Cannes-Mandelieu Airport,CEQ,Cannes,FR,FRPRO,France,FRA,WEUR,Provence Alpes Cote d'Azur,Western Europe,EU,Europe,1,43.546389,6.954167,
CER,1315,LFRC,,Cherbourg-Maupertus Airport,CER,Cherbourg,FR,FRNOR,France,FRA,WEUR,Normandy,Western Europe,EU,Europe,1,49.650812,-1.475198,
CES,1316,YCNK,,Cessnock Airport,CES,Cessnock,AU,AUNSW,Australia,AUS,OCEA,New South Wales,Oceania,OC,Oceania,1,-32.833333,151.35,
CET,1317,LFOU,,Le Pontreau Airport,CET,Cholet,FR,FRPAY,France,FRA,WEUR,Pays de la Loire,Western Europe,EU,Europe,1,47.066667,-0.866667,
CEU,1318,KCEU,,Oconee County Regional Airport,CEU,Clemson,US,US_SC,U.S.A.,USA,NAME,South Carolina,North America,AM,America,1,34.671263,-82.885251,
CEV,1319,KCEV,,Mettle Field,CEV,Connersville,US,US_IN,U.S.A.,USA,NAME,Indiana,North America,AM,America,1,39.65,-85.133333,
CEW,1320,KCEW,,Bob Sikes Airport,CEW,Crestview,US,US_FL,U.S.A.,USA,NAME,Florida,North America,AM,America,1,30.777433,-86.523401,
CEX,1321,,,Chena Hot Springs Airport,CEX,Chena Hot Springs,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,65.05,-146.166667,
CEY,1322,KCEY,,Calloway County Airport,CEY,Murray,US,US_KY,U.S.A.,USA,NAME,Kentucky,North America,AM,America,1,36.616667,-88.316667,
CEZ,1323,KCEZ,,Montezuma County Airport,CEZ,Cortez,US,US_CO,U.S.A.,USA,NAME,Colorado,North America,AM,America,1,37.302778,-108.627222,
CFB,1324,SBCB,,Cabo Frio International Airport,CFB,Cabo Frio,BR,BR_RJ,Brazil,BRA,SAME,Rio de Janeiro,South America,AM,America,1,-22.925,-42.078611,
CFC,1325,,,Cacador Airport,CFC,Cacador,BR,BR_SC,Brazil,BRA,SAME,Santa Catarina,South America,AM,America,1,-26.790556,-50.941389,
CFD,1326,KCFD,,Coulter Field,CFD,Bryan,US,US_TX,U.S.A.,USA,NAME,Texas,North America,AM,America,1,30.666667,-96.366667,
CFE,1327,LFLC,,Auvergne Airport,CFE,Clermont-Ferrand,FR,FRAUR,France,FRA,WEUR,Auvergne and Rhone-Alpes,Western Europe,EU,Europe,1,45.789051,3.159323,
CFF,1328,,,Cafunfo Airport,CFF,Cafunfo,AO,,Angola,AGO,SAFR,,Subsaharan Africa,AF,Africa,1,-8.766667,18,
CFG,1329,MUCF,,Jaime Gonzalez Airport,CFG,Cienfuegos,CU,,Cuba,CUB,CRBN,,Caribbean,AM,America,1,22.15,-80.414167,
CFH,1330,,,Clifton Hills Airport,CFH,Clifton Hills,AU,AUSOA,Australia,AUS,OCEA,South Australia,Oceania,OC,Oceania,1,-27,139,
CFI,1331,,,Camfield Airport,CFI,Camfield,AU,AUNOT,Australia,AUS,OCEA,Northern Territory,Oceania,OC,Oceania,1,-17.033333,131.283333,
CFK,1332,DAOI,,Aboubakr Belkaid Airport,CFK,Chlef,DZ,,Algeria,DZA,NAFR,,North Africa,AF,Africa,1,36.212222,1.331667,
CFM,1333,,,Conklin (Leismer) Airport,CFM,Conklin,CA,CA_AB,Canada,CAN,NAME,Alberta,North America,AM,America,1,55.696437,-111.28084,
CFN,1334,EIDL,,Donegal Airport,CFN,Donegal,IE,,Ireland,IRL,NEUR,,Northern Europe,EU,Europe,1,55.041667,-8.340278,
CFO,1335,,,Confreza Airport,CFO,Confreza,BR,BR_MT,Brazil,BRA,SAME,Mato Grosso,South America,AM,America,1,-10.633333,-51.566667,
CFP,1336,,,Carpentaria Downs Airport,CFP,Carpentaria Downs,AU,AUQLD,Australia,AUS,OCEA,Queensland,Oceania,OC,Oceania,1,-18.783333,144.35,
CFQ,1337,,,Creston Airport,CFQ,Creston,CA,CA_BC,Canada,CAN,NAME,British Columbia,North America,AM,America,1,49.036944,-116.498333,
CFR,1338,LFRK,,Carpiquet Airport,CFR,Caen,FR,FRNOR,France,FRA,WEUR,Normandy,Western Europe,EU,Europe,1,49.183437,-0.459276,
CFS,1339,YCFS,,Coffs Harbour Airport,CFS,Coffs Harbour,AU,AUNSW,Australia,AUS,OCEA,New South Wales,Oceania,OC,Oceania,1,-30.322862,153.115301,
CFT,1340,KCFT,,Morenci Airport,CFT,Clifton,US,US_AZ,U.S.A.,USA,NAME,Arizona,North America,AM,America,1,32.952801,-109.209999,
CFU,1341,LGKR,,Ioannis Kapodistrias Airport,CFU,Kerkyra,GR,,Greece,GRC,SEUR,,Southern Europe,EU,Europe,1,39.60784,19.914645,
CFV,1342,KCFV,,Coffeyville Municipal Airport,CFV,Coffeyville,US,US_KS,U.S.A.,USA,NAME,Kansas,North America,AM,America,1,37.033333,-95.616667,
CFW,1343,,,Cardiff - Railway Station,CWL,Cardiff,GB,GBWAL,United Kingdom,GBR,NEUR,Wales,Northern Europe,EU,Europe,1,51.47583333,-3.179166667,
CGA,1344,,,Craig Seaplane Base,CGA,Craig,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,55.478383,-133.146166,
CGB,1345,SBCY,,Marechal Rondon International Airport,CGB,Cuiaba,BR,BR_MT,Brazil,BRA,SAME,Mato Grosso,South America,AM,America,1,-15.651725,-56.120266,
CGC,1346,,,Cape Gloucester Airport,CGC,Cape Gloucester,PG,,Papua New Guinea,PNG,OCEA,,Oceania,OC,Oceania,1,-5.459167,148.515833,
CGD,1347,ZGCD,,Changde Airport,CGD,Changde,CN,CNHUN,China,CHN,NEAS,Hunan,North East Asia,AS,Asia,1,28.924467,111.638863,
CGE,1348,KCGE,,Cambridge Airport,CGE,Cambridge,US,US_MD,U.S.A.,USA,NAME,Maryland,North America,AM,America,1,38.566667,-76.083333,
CGF,1349,KCGF,,Cuyahoga County Airport,CLE,Cleveland,US,US_OH,U.S.A.,USA,NAME,Ohio,North America,AM,America,1,41.565181,-81.488049,
CGG,1350,,,Casiguran Airport,CGG,Casiguran,PH,,Philippines,PHL,SEAS,,South East Asia,AS,Asia,1,16.083333,122.016667,
CGH,1351,SBSP,,Congonhas Airport,SAO,Sao Paulo,BR,BR_SP,Brazil,BRA,SAME,Sao Paulo,South America,AM,America,1,-23.626902,-46.659556,
CGI,1352,KCGI,,Cape Girardeau Airport,CGI,Cape Girardeau,US,US_MO,U.S.A.,USA,NAME,Missouri,North America,AM,America,1,37.223611,-89.571667,
CGJ,1353,,,Chingola Airport,CGJ,Chingola,ZM,,Zambia,ZMB,SAFR,,Subsaharan Africa,AF,Africa,1,-12.516667,27.883333,
CGK,1354,WIII,,Soekarno-Hatta International Airport,JKT,Jakarta,ID,,Indonesia,IDN,SEAS,,South East Asia,AS,Asia,1,-6.130643,106.655526,
CGM,1355,RPMH,,Camiguin Airport,CGM,Mambajao,PH,,Philippines,PHL,SEAS,,South East Asia,AS,Asia,1,9.253611,124.706944,
CGN,1356,EDDK,,Cologne Bonn Airport,CGN,Cologne,DE,DENOR,Germany,DEU,WEUR,North Rhine Westphalia,Western Europe,EU,Europe,1,50.878363,7.122224,
CGO,1357,ZHCC,,Zhengzhou Xinzheng Airport,CGO,Zhengzhou,CN,CNNAN,China,CHN,NEAS,Henan,North East Asia,AS,Asia,1,34.527519,113.840242,
CGP,1358,VGEG,,Shah Amanat International Airport,CGP,Chittagong,BD,,Bangladesh,BGD,SASI,,South Asia,AS,Asia,1,22.245202,91.815159,
CGQ,1359,ZYCC,,Changchun Longjia International Airport,CGQ,Changchun,CN,CNJIL,China,CHN,NEAS,Jilin,North East Asia,AS,Asia,1,43.99611,125.68528,
CGR,1360,SBCG,,Campo Grande International Airport,CGR,Campo Grande,BR,BR_MS,Brazil,BRA,SAME,Mato Grosso do Sul,South America,AM,America,1,-20.456992,-54.668872,
CGS,1361,KCGS,,College Park Airport,CGS,College Park,US,US_MD,U.S.A.,USA,NAME,Maryland,North America,AM,America,1,38.980346,-76.922132,
CGT,1362,,,Chinguitti Airport,CGT,Chinguitti,MR,,Mauritania,MRT,SAFR,,Subsaharan Africa,AF,Africa,1,20.45,-12.366667,
CGV,1363,,,Caiguna Airport,CGV,Caiguna,AU,AUWEA,Australia,AUS,OCEA,Western Australia,Oceania,OC,Oceania,1,-32.266667,125.466667,
CGY,1364,RP02,,Laguindingan International Airport,CGY,Cagayan De Oro,PH,,Philippines,PHL,SEAS,,South East Asia,AS,Asia,1,8.6125,124.457222,
CGZ,1365,KCGZ,,Casa Grande Municipal Airport,CGZ,Casa Grande,US,US_AZ,U.S.A.,USA,NAME,Arizona,North America,AM,America,1,32.954899,-111.766998,
CHA,1366,KCHA,,Chattanooga Airport,CHA,Chattanooga,US,US_TN,U.S.A.,USA,NAME,Tennessee,North America,AM,America,1,35.036925,-85.197784,
