AIRPORTIATACODE,ID,AIRPORTICAOCODE,TERMINALCODE,AIRPORTNAME,CITYCODE,CITYNAME,COUNTRYCODE,REGIONCODE,COUNTRYNAME,ISO_CODE,SUBCONTINENTCODE,REGIONNAME,SUBCONTINENTNAME,CONTINENTCODE,CONTINENTNAME,ACTIVESTATUS,AIRPORTLATITUDE,AIRPORTLONGITUDE,LOAD_TIME
PWE,6732,UHMP,,Pevek Airport,PWE,Pevek,RU,,Russia,RUS,EEUR,,Central/Eastern Europe,EU,Europe,1,69.783333,170.6,
PWI,6733,,,Beles Airport,PWI,Pawi,ET,,Ethiopia,ETH,SAFR,,Subsaharan Africa,AF,Africa,1,11.333333,36.416667,
PWK,6734,KPWK,,Chicago Executive Airport,CHI,Chicago,US,US_IL,U.S.A.,USA,NAME,Illinois,North America,AM,America,1,42.114167,-87.901667,
PWL,6735,,,Purwokerto Airport,PWL,Purwokerto,ID,,Indonesia,IDN,SEAS,,South East Asia,AS,Asia,1,-7.466667,109.15,
PWM,6736,KPWM,,Portland International Jetport,PWM,Portland,US,US_ME,U.S.A.,USA,NAME,Maine,North America,AM,America,1,43.647492,-70.310307,
PWN,6737,,,Pitts Town Airport,PWN,Pitts Town,BS,,Bahamas,BHS,CRBN,,Caribbean,AM,America,1,22.833333,-74.35,
PWO,6738,FZQC,,Pweto Airport,PWO,Pweto,CD,,Congo,COD,SAFR,,Subsaharan Africa,AF,Africa,1,-8.466667,28.9,
PWQ,6739,UASP,,Pavlodar Airport,PWQ,Pavlodar,KZ,,Kazakhstan,KAZ,EEUR,,Central/Eastern Europe,EU,Europe,1,52.195808,77.073959,
PWR,6740,,,Port Walter Sea Plane Base,PWR,Port Walter,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,56.382663,-134.648359,
PWT,6741,KPWT,,Bremerton National Airport,PWT,Bremerton,US,US_WA,U.S.A.,USA,NAME,Washington,North America,AM,America,1,47.485,-122.763333,
PWY,6742,KPNA,,Ralph Wenz Field,PWY,Pinedale,US,US_WY,U.S.A.,USA,NAME,Wyoming,North America,AM,America,1,42.796127,-109.805519,
PXA,6743,,,Pagar Alam Airport,PXA,Lahat,ID,,Indonesia,IDN,SEAS,,South East Asia,AS,Asia,1,-4.022327,103.379704,
PXB,6744,,,Perugia Bus Station,PEG,Perugia,IT,,Italy,ITA,SEUR,,Southern Europe,EU,Europe,1,43.10472222,12.37611111,
PXC,6745,,,Pescara Bus Station,PSR,Pescara,IT,,Italy,ITA,SEUR,,Southern Europe,EU,Europe,1,42.47,14.205,
PXG,6746,,,Pingxiang - Railway Station,YIC,Yichun,CN,CNJXI,China,CHN,NEAS,Jiangxi,North East Asia,AS,Asia,1,27.64638889,113.8419444,
PXH,6747,YPMH,,Prominent Hill Airport,PXH,Prominent Hill Mine,AU,AUSOA,Australia,AUS,OCEA,South Australia,Oceania,OC,Oceania,1,-29.710412,135.526997,
PXL,6748,,,Polacca Airport,PXL,Polacca,US,US_AZ,U.S.A.,USA,NAME,Arizona,North America,AM,America,1,35.8,-110.333333,
PXM,6749,MMPS,,Puerto Escondido Airport,PXM,Puerto Escondido,MX,,Mexico,MEX,NAME,,North America,AM,America,1,15.85,-97.083333,
PXO,6750,LPPS,,Porto Santo Airport,PXO,Porto Santo (Madeira),PT,,Portugal,PRT,SEUR,,Southern Europe,EU,Europe,1,33.070023,-16.345014,
PXR,6751,,,Surin Airport,PXR,Surin,TH,,Thailand,THA,SEAS,,South East Asia,AS,Asia,1,14.866667,103.5,
PXS,6752,,,Puerto De Santa Maria Airport,PXS,Puerto De Santa Maria,ES,ESAND,Spain,ESP,SEUR,Andalusia,Southern Europe,EU,Europe,1,36.6,-6.216667,
PXU,6753,VVPK,,Pleiku Airport,PXU,Pleiku,VN,,Vietnam,VNM,SEAS,,South East Asia,AS,Asia,1,14.006346,108.00896,
PYA,6754,,,Puerto Boyaca Airport,PYA,Puerto Boyaca,CO,,Colombia,COL,SAME,,South America,AM,America,1,5.966667,-74.6,
PYB,6755,VEJP,,Jeypore Airport,PYB,Jeypore,IN,INODI,India,IND,SASI,Odisha,South Asia,AS,Asia,1,18.833333,82.633333,
PYC,6756,,,Playon Chico Airport,PYC,Playon Chico,PA,,Panama,PAN,CAME,,Central America,AM,America,1,9.305184,-78.235874,
PYE,6757,NCPY,,Penrhyn Island Airport,PYE,Penrhyn Island,CK,,Cook Islands,COK,OCEA,,Oceania,OC,Oceania,1,-9.016667,-158.033333,
PYG,6758,VEPY,,Pakyong Airport,PYG,Pakyong,IN,INSIK,India,IND,SASI,Sikkim,South Asia,AS,Asia,1,27.2278,88.586944,
