CITYCODE,ID,CITYNAME,COUNTRYCODE,REGIONCODE,COUNTRYNAME,ISO_CODE,SUBCONTINENTCODE,REGIONNAME,SUBCONTINENTNAME,CONTINENTCODE,CONTINENTNAME,ACTIVESTATUS,LATITUDE_NUM,LONGITUDE_NUM,LOAD_TIME
HKG,2972,Hong Kong,HK,,Hong Kong,HKG,NEAS,,North East Asia,AS,Asia,1,22.27683,114.17612,
HHQ,2973,Hua Hin,TH,,Thailand,THA,SEAS,,South East Asia,AS,Asia,1,12.5699326,99.9573437,
HHR,2974,Hawthorne,US,US_CA,U.S.A.,USA,NAME,California,North America,AM,America,1,33.91822,-118.35273,
ZGN,2975,Zhongshan,CN,CNGUA,China,CHN,NEAS,Guangdong,North East Asia,AS,Asia,1,22.5196895,113.3870834,
HHZ,2976,Hikueru,PF,,French Polynesia,PYF,OCEA,,Oceania,OC,Oceania,1,-18.25384,-142.11357,
HIA,2977,Huai'an,CN,CNJIA,China,CHN,NEAS,Jiangsu,North East Asia,AS,Asia,1,33.5524785,119.1075773,
HIB,2978,Hibbing,US,US_MN,U.S.A.,USA,NAME,Minnesota,North America,AM,America,1,45.3674181,-88.973699,
PRY,2979,Pretoria,ZA,,South Africa,ZAF,SAFR,,Subsaharan Africa,AF,Africa,1,-25.7459277,28.1879101,
HID,2980,Horn Island,AU,AUQLD,Australia,AUS,OCEA,Queensland,Oceania,OC,Oceania,1,-10.60618815,142.2810533,
HIE,2981,Whitefield,US,US_NH,U.S.A.,USA,NAME,New Hampshire,North America,AM,America,1,41.85808155,-87.62680253,
OGD,2982,Ogden,US,US_UT,U.S.A.,USA,NAME,Utah,North America,AM,America,1,41.23654,-111.97853,
HIG,2983,Highbury,AU,AUQLD,Australia,AUS,OCEA,Queensland,Oceania,OC,Oceania,1,-33.0561723,117.2396552,
HIH,2984,Hook Island,AU,AUQLD,Australia,AUS,OCEA,Queensland,Oceania,OC,Oceania,1,-20.11890235,148.9134288,
HII,2985,Lake Havasu City,US,US_AZ,U.S.A.,USA,NAME,Arizona,North America,AM,America,1,34.4744,-114.34632,
HIJ,2986,Hiroshima,JP,,Japan,JPN,NEAS,,North East Asia,AS,Asia,1,34.3917241,132.4517589,
HIL,2987,Shillavo,ET,,Ethiopia,ETH,SAFR,,Subsaharan Africa,AF,Africa,1,-22.83571,30.54837,
HIM,2988,Hingurakgoda,LK,,Sri Lanka,LKA,SASI,,South Asia,AS,Asia,1,8.0415145,80.9531701,
HIN,2989,Jinju,KR,,South Korea,KOR,NEAS,,North East Asia,AS,Asia,1,35.1803459,128.1079953,
HIO,2990,Hillsboro,US,US_OR,U.S.A.,USA,NAME,Oregon,North America,AM,America,1,44.2645248,-68.3247389,
HIP,2991,Headingly,AU,AUQLD,Australia,AUS,OCEA,Queensland,Oceania,OC,Oceania,1,-21.3235765,138.2913177,
HIR,2992,Honiara,SB,,Solomon Islands,SLB,OCEA,,Oceania,OC,Oceania,1,-9.4310769,159.9552552,
HIS,2993,Hayman Island,AU,AUQLD,Australia,AUS,OCEA,Queensland,Oceania,OC,Oceania,1,-20.0502143,148.8883785,
HIT,2994,Hivaro,PG,,Papua New Guinea,PNG,OCEA,,Oceania,OC,Oceania,1,-5.6816068,144.2489014,
HJJ,2995,Huaihua,CN,CNHUN,China,CHN,NEAS,Hunan,North East Asia,AS,Asia,1,27.5713952,109.9972341,
HJR,2996,Khajuraho,IN,INMAD,India,IND,SASI,Madhya Pradesh,South Asia,AS,Asia,1,24.8515132,79.9259786,
HJT,2997,Khujirt,MN,,Mongolia,MNG,NEAS,,North East Asia,AS,Asia,1,46.8987207,102.7661022,
HKB,2998,Healy Lake,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,63.87157,-148.99946,
HKD,2999,Hakodate,JP,,Japan,JPN,NEAS,,North East Asia,AS,Asia,1,41.768793,140.729008,
HKK,3000,Hokitika,NZ,,New Zealand,NZL,OCEA,,Oceania,OC,Oceania,1,-42.7178871,170.9646469,
HKN,3001,Hoskins,PG,,Papua New Guinea,PNG,OCEA,,Oceania,OC,Oceania,1,-5.4519975,150.4071418,
JAN,3002,Jackson,US,US_MS,U.S.A.,USA,NAME,Mississippi,North America,AM,America,1,32.29896,-90.18044,
HKT,3003,Phuket,TH,,Thailand,THA,SEAS,,South East Asia,AS,Asia,1,7.8847901,98.3891503,
HKV,3004,Haskovo,BG,,Bulgaria,BGR,EEUR,,Central/Eastern Europe,EU,Europe,1,41.9345727,25.5556639,
HKY,3005,Hickory,US,US_NC,U.S.A.,USA,NAME,North Carolina,North America,AM,America,1,35.73491,-81.3356,
HLB,3006,Batesville,US,US_IN,U.S.A.,USA,NAME,Indiana,North America,AM,America,1,39.29679,-85.22374,
HLC,3007,Hill City,US,US_KS,U.S.A.,USA,NAME,Kansas,North America,AM,America,1,39.36455,-99.84216,
HLD,3008,Hailar,CN,CNMOG,China,CHN,NEAS,Inner Mongolia,North East Asia,AS,Asia,1,49.2321432,119.817227,
HLE,3009,Jamestown,SH,,Saint Helena,SHN,SAFR,,Subsaharan Africa,AF,Africa,1,36.43572,-85.01916,
HLF,3010,Hultsfred,SE,,Sweden,SWE,NEUR,,Northern Europe,EU,Europe,1,57.4,15.8,
HLG,3011,Wheeling,US,US_WV,U.S.A.,USA,NAME,West Virginia,North America,AM,America,1,40.06398,-80.72141,
HLH,3012,Ulanhot,CN,CNMOG,China,CHN,NEAS,Inner Mongolia,North East Asia,AS,Asia,1,46.0698111,122.0873444,
HLI,3013,Hollister,US,US_CA,U.S.A.,USA,NAME,California,North America,AM,America,1,36.85254,-121.40363,
HLJ,3014,Zhaodong,CN,CNHEN,China,CHN,NEAS,Heilongjiang,North East Asia,AS,Asia,1,46.0722331,125.9863423,
HLL,3015,Hillside,AU,AUWEA,Australia,AUS,OCEA,Western Australia,Oceania,OC,Oceania,1,-37.84651,147.5147431,
HLM,3016,Holland,US,US_MI,U.S.A.,USA,NAME,Michigan,North America,AM,America,1,42.77358,-86.10226,
HLN,3017,Helena,US,US_MT,U.S.A.,USA,NAME,Montana,North America,AM,America,1,46.58976,-112.02065,
HLS,3018,Saint Helens,AU,AUTAS,Australia,AUS,OCEA,Tasmania,Oceania,OC,Oceania,1,-26.6319485,152.9627751,
HLT,3019,Hamilton,AU,AUVIC,Australia,AUS,OCEA,Victoria,Oceania,OC,Oceania,1,-37.7433872,142.0242865,
HLV,3020,Helenvale,AU,AUQLD,Australia,AUS,OCEA,Queensland,Oceania,OC,Oceania,1,-15.7172222,145.2355556,
HLW,3021,Hluhluwe,ZA,,South Africa,ZAF,SAFR,,Subsaharan Africa,AF,Africa,1,-28.0175,32.269167,
HLY,3022,Holyhead,GB,GBWAL,United Kingdom,GBR,NEUR,Wales,Northern Europe,EU,Europe,1,53.3106715,-4.6330966,
HLZ,3023,Hamilton,NZ,,New Zealand,NZL,OCEA,,Oceania,OC,Oceania,1,-37.7878809,175.281788,
HMA,3024,Khanty-Mansiysk,RU,,Russia,RUS,EEUR,,Central/Eastern Europe,EU,Europe,1,61.0034448,69.0190006,
HMB,3025,Sohag,EG,,Egypt,EGY,MIDE,,Middle East,AS,Asia,1,26.547748,31.699263,
HME,3026,Hassi Messaoud,DZ,,Algeria,DZA,NAFR,,North Africa,AF,Africa,1,31.6957444,6.0604297,
HMG,3027,Hermannsburg,AU,AUNOT,Australia,AUS,OCEA,Northern Territory,Oceania,OC,Oceania,1,-23.9427685,132.7794582,
HMI,3028,Hami,CN,CNXIN,China,CHN,NEAS,Xinjiang,North East Asia,AS,Asia,1,42.817404,93.5142008,
HMJ,3029,Khmelnitskiy,UA,,Ukraine,UKR,EEUR,,Central/Eastern Europe,EU,Europe,1,49.41682,26.97434,
HMO,3030,Hermosillo,MX,,Mexico,MEX,NAME,,North America,AM,America,1,29.0948207,-110.9692202,
HMR,3031,Hamar,NO,,Norway,NOR,NEUR,,Northern Europe,EU,Europe,1,61.0014937,11.16479641,
